

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\ResearchLab\02_Proje...SOO_MPJ\MPJ_Sap\SOO_Displacement_W10\MPJ_10.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
  624866 TO  624916    A   A   A   A   A   A
  624917               -   -   A   -   -   -
  624918               A   A   -   A   A   A
  624919               A   A   A   A   A   A
  624920               -   -   A   -   -   -
  624921               A   A   -   A   A   A
  624922               A   A   A   A   A   A
  624923               -   -   A   -   -   -
  624924               A   A   -   A   A   A
  624925               A   A   A   A   A   A
  624926               -   -   A   -   -   -
  624927               A   A   -   A   A   A
  624928               A   A   A   A   A   A
  624929               -   -   A   -   -   -
  624930               A   A   -   A   A   A
  624931               A   A   A   A   A   A
  624932               -   -   A   -   -   -
  624933               A   A   -   A   A   A
  624934               A   A   A   A   A   A
  624935               -   -   A   -   -   -
  624936               A   A   -   A   A   A
  624937               -   -   A   -   -   -
  624938               A   A   -   A   A   A
  624939               -   -   A   -   -   -
  624940               A   A   -   A   A   A
  624941               -   -   A   -   -   -
  624942               A   A   -   A   A   A
  624943               -   -   A   -   -   -
  624944               A   A   -   A   A   A
  624945               -   -   A   -   -   -
  624946               A   A   -   A   A   A
  624947               -   -   A   -   -   -
  624948               A   A   -   A   A   A
  624949               -   -   A   -   -   -
  624950               A   A   -   A   A   A
  624951               -   -   A   -   -   -
  624952               A   A   -   A   A   A
  624953               -   -   A   -   -   -
  624954               A   A   -   A   A   A
  624955               -   -   A   -   -   -
  624956               A   A   -   A   A   A
  624957               -   -   A   -   -   -
  624958               A   A   -   A   A   A
  624959               -   -   A   -   -   -
  624960               A   A   -   A   A   A
  624961               -   -   A   -   -   -
  624962               A   A   -   A   A   A
  624963               -   -   A   -   -   -
  624964               A   A   -   A   A   A
  624965               -   -   A   -   -   -
  624966               A   A   -   A   A   A
  624967               -   -   A   -   -   -
  624968               A   A   -   A   A   A
  624969               -   -   A   -   -   -
  624970               A   A   -   A   A   A
  624971               -   -   A   -   -   -
  624972               A   A   -   A   A   A
  624973               -   -   A   -   -   -
  624974               A   A   -   A   A   A
  624975               -   -   A   -   -   -
  624976               A   A   -   A   A   A
  624977               -   -   A   -   -   -
  624978               A   A   -   A   A   A
  624979 TO    ~346    A   A   A   A   A   A
