

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\ResearchLab\02_Proje...\SOO_MPJ\MPJ_Sap\SOO_Displacement_W05\MPJ_5.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
  961136 TO  961186    A   A   A   A   A   A
  961187               -   -   A   -   -   -
  961188               A   A   -   A   A   A
  961189               A   A   A   A   A   A
  961190               -   -   A   -   -   -
  961191               A   A   -   A   A   A
  961192               A   A   A   A   A   A
  961193               -   -   A   -   -   -
  961194               A   A   -   A   A   A
  961195               A   A   A   A   A   A
  961196               -   -   A   -   -   -
  961197               A   A   -   A   A   A
  961198               A   A   A   A   A   A
  961199               -   -   A   -   -   -
  961200               A   A   -   A   A   A
  961201               A   A   A   A   A   A
  961202               -   -   A   -   -   -
  961203               A   A   -   A   A   A
  961204               A   A   A   A   A   A
  961205               -   -   A   -   -   -
  961206               A   A   -   A   A   A
  961207               -   -   A   -   -   -
  961208               A   A   -   A   A   A
  961209               -   -   A   -   -   -
  961210               A   A   -   A   A   A
  961211               -   -   A   -   -   -
  961212               A   A   -   A   A   A
  961213               -   -   A   -   -   -
  961214               A   A   -   A   A   A
  961215               -   -   A   -   -   -
  961216               A   A   -   A   A   A
  961217               -   -   A   -   -   -
  961218               A   A   -   A   A   A
  961219               -   -   A   -   -   -
  961220               A   A   -   A   A   A
  961221               -   -   A   -   -   -
  961222               A   A   -   A   A   A
  961223               -   -   A   -   -   -
  961224               A   A   -   A   A   A
  961225               -   -   A   -   -   -
  961226               A   A   -   A   A   A
  961227               -   -   A   -   -   -
  961228               A   A   -   A   A   A
  961229               -   -   A   -   -   -
  961230               A   A   -   A   A   A
  961231               -   -   A   -   -   -
  961232               A   A   -   A   A   A
  961233               -   -   A   -   -   -
  961234               A   A   -   A   A   A
  961235               -   -   A   -   -   -
  961236               A   A   -   A   A   A
  961237               -   -   A   -   -   -
  961238               A   A   -   A   A   A
  961239               -   -   A   -   -   -
  961240               A   A   -   A   A   A
  961241               -   -   A   -   -   -
  961242               A   A   -   A   A   A
  961243               -   -   A   -   -   -
  961244               A   A   -   A   A   A
  961245               -   -   A   -   -   -
  961246               A   A   -   A   A   A
  961247               -   -   A   -   -   -
  961248               A   A   -   A   A   A
  961249 TO    ~346    A   A   A   A   A   A
