

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\ResearchLab\02_Proje...OA\code\SOO_MPJ\MPJ_Sap\SOO_Cost_W10\MPJ_10.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
  453932 TO  453964    A   A   A   A   A   A
  453965               -   -   A   -   -   -
  453966               A   A   -   A   A   A
  453967               A   A   A   A   A   A
  453968               -   -   A   -   -   -
  453969               A   A   -   A   A   A
  453970               A   A   A   A   A   A
  453971               -   -   A   -   -   -
  453972               A   A   -   A   A   A
  453973               A   A   A   A   A   A
  453974               -   -   A   -   -   -
  453975               A   A   -   A   A   A
  453976               A   A   A   A   A   A
  453977               -   -   A   -   -   -
  453978               A   A   -   A   A   A
  453979               A   A   A   A   A   A
  453980               -   -   A   -   -   -
  453981               A   A   -   A   A   A
  453982               A   A   A   A   A   A
  453983               -   -   A   -   -   -
  453984               A   A   -   A   A   A
  453985               -   -   A   -   -   -
  453986               A   A   -   A   A   A
  453987               -   -   A   -   -   -
  453988               A   A   -   A   A   A
  453989               -   -   A   -   -   -
  453990               A   A   -   A   A   A
  453991               -   -   A   -   -   -
  453992               A   A   -   A   A   A
  453993               -   -   A   -   -   -
  453994               A   A   -   A   A   A
  453995               -   -   A   -   -   -
  453996               A   A   -   A   A   A
  453997               -   -   A   -   -   -
  453998               A   A   -   A   A   A
  453999 TO    ~214    A   A   A   A   A   A
