

 SAP2000 v24.0.0 Ultimate 64-bit (Analysis Build 9894/64)                       
 File: D:\ResearchLab\02_Proje...\SOO_MPJ\MPJ_Sap\SOO_Displacement_W04\MPJ_4.OUT
                                                                     
                                                                       

 D I S P L A C E M E N T   D E G R E E S   O F   F R E E D O M

         (A) = Active DOF, equilibrium equation
         (-) = Restrained DOF, reaction computed
         (+) = Constrained DOF
         (>) = External substructure DOF
         ( ) = Null DOF

  JOINTS              UX  UY  UZ  RX  RY  RZ
  917434 TO  917484    A   A   A   A   A   A
  917485               -   -   A   -   -   -
  917486               A   A   -   A   A   A
  917487               A   A   A   A   A   A
  917488               -   -   A   -   -   -
  917489               A   A   -   A   A   A
  917490               A   A   A   A   A   A
  917491               -   -   A   -   -   -
  917492               A   A   -   A   A   A
  917493               A   A   A   A   A   A
  917494               -   -   A   -   -   -
  917495               A   A   -   A   A   A
  917496               A   A   A   A   A   A
  917497               -   -   A   -   -   -
  917498               A   A   -   A   A   A
  917499               A   A   A   A   A   A
  917500               -   -   A   -   -   -
  917501               A   A   -   A   A   A
  917502               A   A   A   A   A   A
  917503               -   -   A   -   -   -
  917504               A   A   -   A   A   A
  917505               -   -   A   -   -   -
  917506               A   A   -   A   A   A
  917507               -   -   A   -   -   -
  917508               A   A   -   A   A   A
  917509               -   -   A   -   -   -
  917510               A   A   -   A   A   A
  917511               -   -   A   -   -   -
  917512               A   A   -   A   A   A
  917513               -   -   A   -   -   -
  917514               A   A   -   A   A   A
  917515               -   -   A   -   -   -
  917516               A   A   -   A   A   A
  917517               -   -   A   -   -   -
  917518               A   A   -   A   A   A
  917519               -   -   A   -   -   -
  917520               A   A   -   A   A   A
  917521               -   -   A   -   -   -
  917522               A   A   -   A   A   A
  917523               -   -   A   -   -   -
  917524               A   A   -   A   A   A
  917525               -   -   A   -   -   -
  917526               A   A   -   A   A   A
  917527               -   -   A   -   -   -
  917528               A   A   -   A   A   A
  917529               -   -   A   -   -   -
  917530               A   A   -   A   A   A
  917531               -   -   A   -   -   -
  917532               A   A   -   A   A   A
  917533               -   -   A   -   -   -
  917534               A   A   -   A   A   A
  917535               -   -   A   -   -   -
  917536               A   A   -   A   A   A
  917537               -   -   A   -   -   -
  917538               A   A   -   A   A   A
  917539               -   -   A   -   -   -
  917540               A   A   -   A   A   A
  917541               -   -   A   -   -   -
  917542               A   A   -   A   A   A
  917543               -   -   A   -   -   -
  917544               A   A   -   A   A   A
  917545               -   -   A   -   -   -
  917546               A   A   -   A   A   A
  917547 TO    ~346    A   A   A   A   A   A
